Gene ID,Symbol,Name
6282,S100A11,S100 calcium binding protein A11
4236,MFAP1,microfibril associated protein 1
6284,S100A13,S100 calcium binding protein A13
4237,MFAP2,microfibril associated protein 2
4239,MFAP4,microfibril associated protein 4
2192,FBLN1,fibulin 1
4240,MFGE8,milk fat globule EGF and factor V/VIII domain containing
5265,SERPINA1,serpin family A member 1
5266,PI3,peptidase inhibitor 3
5269,SERPINB6,serpin family B member 6
5270,SERPINE2,serpin family E member 2
2199,FBLN2,fibulin 2
5271,SERPINB8,serpin family B member 8
2200,FBN1,fibrillin 1
5272,SERPINB9,serpin family B member 9
2201,FBN2,fibrillin 2
1178,CLC,Charcot-Leyden crystal galectin
2202,EFEMP1,EGF containing fibulin extracellular matrix protein 1
9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing"
10394,PRG3,"proteoglycan 3, pro eosinophil major basic protein 2"
5276,SERPINI2,serpin family I member 2
256158,HMCN2,hemicentin 2
80031,SEMA6D,semaphorin 6D
4256,MGP,matrix Gla protein
165,AEBP1,AE binding protein 1
1191,CLU,clusterin
140453,MUC17,"mucin 17, cell surface associated"
2219,FCN1,ficolin 1
2220,FCN2,ficolin 2
157869,SBSPON,somatomedin B and thrombospondin type 1 domain containing
176,ACAN,aggrecan
10417,SPON2,spondin 2
10418,SPON1,spondin 1
51378,ANGPT4,angiopoietin 4
183,AGT,angiotensinogen
80059,LRRTM4,leucine rich repeat transmembrane neuronal 4
10428,CFDP1,craniofacial development protein 1
1215,CMA1,chymase 1
2239,GPC4,glypican 4
3263,HPX,hemopexin
126147,NTN5,netrin 5
2243,FGA,fibrinogen alpha chain
5315,PKM,pyruvate kinase M1/2
2244,FGB,fibrinogen beta chain
197,AHSG,alpha 2-HS glycoprotein
115908,CTHRC1,collagen triple helix repeat containing 1
2246,FGF1,fibroblast growth factor 1
80070,ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20
3273,HRG,histidine rich glycoprotein
7373,COL14A1,collagen type XIV alpha 1 chain
2254,FGF9,fibroblast growth factor 9
10446,LRRN2,leucine rich repeat neuronal 2
2255,FGF10,fibroblast growth factor 10
5327,PLAT,"plasminogen activator, tissue type"
9423,NTN1,netrin 1
8404,SPARCL1,SPARC like 1
213,ALB,albumin
2262,GPC5,glypican 5
8406,SRPX,sushi repeat containing protein X-linked
2263,FGFR2,fibroblast growth factor receptor 2
23767,FLRT3,fibronectin leucine rich transmembrane protein 3
4312,MMP1,matrix metallopeptidase 1
23768,FLRT2,fibronectin leucine rich transmembrane protein 2
4313,MMP2,matrix metallopeptidase 2
23769,FLRT1,fibronectin leucine rich transmembrane protein 1
2266,FGG,fibrinogen gamma chain
4314,MMP3,matrix metallopeptidase 3
2267,FGL1,fibrinogen like 1
4316,MMP7,matrix metallopeptidase 7
5340,PLG,plasminogen
4317,MMP8,matrix metallopeptidase 8
4318,MMP9,matrix metallopeptidase 9
4319,MMP10,matrix metallopeptidase 10
4320,MMP11,matrix metallopeptidase 11
8416,ANXA9,annexin A9
4321,MMP12,matrix metallopeptidase 12
5345,SERPINF2,serpin family F member 2
4322,MMP13,matrix metallopeptidase 13
4323,MMP14,matrix metallopeptidase 14
56547,MMP26,matrix metallopeptidase 26
4324,MMP15,matrix metallopeptidase 15
4325,MMP16,matrix metallopeptidase 16
4326,MMP17,matrix metallopeptidase 17
9446,GSTO1,glutathione S-transferase omega 1
4327,MMP19,matrix metallopeptidase 19
7399,USH2A,usherin
5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
8425,LTBP4,latent transforming growth factor beta binding protein 4
51435,SCARA3,scavenger receptor class A member 3
54507,ADAMTSL4,ADAMTS like 4
5359,PLSCR1,phospholipid scramblase 1
6383,SDC2,syndecan 2
5362,PLXNA2,plexin A2
6387,CXCL12,C-X-C motif chemokine ligand 12
3320,HSP90AA1,heat shock protein 90 alpha family class A member 1
249,ALPL,"alkaline phosphatase, biomineralization associated"
729330,OC90,otoconin 90
1277,COL1A1,collagen type I alpha 1 chain
1278,COL1A2,collagen type I alpha 2 chain
7422,VEGFA,vascular endothelial growth factor A
1280,COL2A1,collagen type II alpha 1 chain
5376,PMP22,peripheral myelin protein 22
1281,COL3A1,collagen type III alpha 1 chain
1282,COL4A1,collagen type IV alpha 1 chain
258,AMBN,ameloblastin
259,AMBP,alpha-1-microglobulin/bikunin precursor
1284,COL4A2,collagen type IV alpha 2 chain
1285,COL4A3,collagen type IV alpha 3 chain
1286,COL4A4,collagen type IV alpha 4 chain
1287,COL4A5,collagen type IV alpha 5 chain
8455,ATRN,attractin
1288,COL4A6,collagen type IV alpha 6 chain
2312,FLG,filaggrin
265,AMELX,amelogenin X-linked
1289,COL5A1,collagen type V alpha 1 chain
266,AMELY,amelogenin Y-linked
1290,COL5A2,collagen type V alpha 2 chain
1291,COL6A1,collagen type VI alpha 1 chain
3339,HSPG2,heparan sulfate proteoglycan 2
22795,NID2,nidogen 2
1292,COL6A2,collagen type VI alpha 2 chain
1293,COL6A3,collagen type VI alpha 3 chain
1294,COL7A1,collagen type VII alpha 1 chain
22798,LAMB4,laminin subunit beta 4
1295,COL8A1,collagen type VIII alpha 1 chain
1296,COL8A2,collagen type VIII alpha 2 chain
10512,SEMA3C,semaphorin 3C
1297,COL9A1,collagen type IX alpha 1 chain
80144,FRAS1,Fraser extracellular matrix complex subunit 1
1298,COL9A2,collagen type IX alpha 2 chain
1299,COL9A3,collagen type IX alpha 3 chain
1300,COL10A1,collagen type X alpha 1 chain
10516,FBLN5,fibulin 5
1301,COL11A1,collagen type XI alpha 1 chain
1302,COL11A2,collagen type XI alpha 2 chain
6422,SFRP1,secreted frizzled related protein 1
25878,MXRA5,matrix remodeling associated 5
1303,COL12A1,collagen type XII alpha 1 chain
6423,SFRP2,secreted frizzled related protein 2
7448,VTN,vitronectin
1305,COL13A1,collagen type XIII alpha 1 chain
1306,COL15A1,collagen type XV alpha 1 chain
7450,VWF,von Willebrand factor
283,ANG,angiogenin
1307,COL16A1,collagen type XVI alpha 1 chain
2331,FMOD,fibromodulin
284,ANGPT1,angiopoietin 1
1308,COL17A1,collagen type XVII alpha 1 chain
285,ANGPT2,angiopoietin 2
1310,COL19A1,collagen type XIX alpha 1 chain
1311,COMP,cartilage oligomeric matrix protein
2335,FN1,fibronectin 1
7455,ZAN,zonadhesin
57633,LRRN1,leucine rich repeat neuronal 1
8482,SEMA7A,semaphorin 7A (John Milton Hagen blood group)
25890,ABI3BP,ABI family member 3 binding protein
8483,CILP,cartilage intermediate layer protein
9507,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4
9508,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3
9509,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
9510,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1
6439,SFTPB,surfactant protein B
6441,SFTPD,surfactant protein D
57642,COL20A1,collagen type XX alpha 1 chain
3371,TNC,tenascin C
301,ANXA1,annexin A1
79148,MMP28,matrix metallopeptidase 28
728358,DEFA1B,defensin alpha 1B
302,ANXA2,annexin A2
9518,GDF15,growth differentiation factor 15
340267,COL28A1,collagen type XXVIII alpha 1 chain
114990,VASN,vasorin
25903,OLFML2B,olfactomedin like 2B
304,ANXA2P2,annexin A2 pseudogene 2
7472,WNT2,Wnt family member 2
55600,ITLN1,intelectin 1
7473,WNT3,Wnt family member 3
7474,WNT5A,Wnt family member 5A
306,ANXA3,annexin A3
307,ANXA4,annexin A4
7475,WNT6,Wnt family member 6
308,ANXA5,annexin A5
7476,WNT7A,Wnt family member 7A
85301,COL27A1,collagen type XXVII alpha 1 chain
309,ANXA6,annexin A6
310,ANXA7,annexin A7
7478,WNT8A,Wnt family member 8A
311,ANXA11,annexin A11
3383,ICAM1,intercellular adhesion molecule 1
30008,EFEMP2,EGF containing fibulin extracellular matrix protein 2
7481,WNT11,Wnt family member 11
7482,WNT2B,Wnt family member 2B
8510,MMP23B,matrix metallopeptidase 23B
325,APCS,"amyloid P component, serum"
6469,SHH,sonic hedgehog signaling molecule
22854,NTNG1,netrin G1
146760,RTN4RL1,reticulon 4 receptor like 1
333,APLP1,amyloid beta precursor like protein 1
50509,COL5A3,collagen type V alpha 3 chain
151887,CCDC80,coiled-coil domain containing 80
335,APOA1,apolipoprotein A1
1359,CPA3,carboxypeptidase A3
337,APOA4,apolipoprotein A4
63827,BCAN,brevican
158038,LINGO2,leucine rich repeat and Ig domain containing 2
8532,CPZ,carboxypeptidase Z
64856,VWA1,von Willebrand factor A domain containing 1
345,APOC3,apolipoprotein C3
1370,CPN2,carboxypeptidase N subunit 2
348,APOE,apolipoprotein E
350,APOH,apolipoprotein H
8547,FCN3,ficolin 3
3440,IFNA2,interferon alpha 2
284018,C17orf58,chromosome 17 open reading frame 58
25975,EGFL6,EGF like domain multiple 6
1404,HAPLN1,hyaluronan and proteoglycan link protein 1
8573,CASK,calcium/calmodulin dependent serine protein kinase
8577,TMEFF1,transmembrane protein with EGF like and two follistatin like domains 1
22915,MMRN1,multimerin 1
91522,COL23A1,collagen type XXIII alpha 1 chain
25987,TSKU,"tsukushi, small leucine rich proteoglycan"
4485,MST1,macrophage stimulating 1
22917,ZP1,zona pellucida glycoprotein 1
10631,POSTN,periostin
121227,LRIG3,leucine rich repeats and immunoglobulin like domains 3
54674,LRRN3,leucine rich repeat neuronal 3
140689,CBLN4,cerebellin 4 precursor
22932,POMZP3,POM121 and ZP3 fusion
3479,IGF1,insulin like growth factor 1
3481,IGF2,insulin like growth factor 2
3483,IGFALS,insulin like growth factor binding protein acid labile subunit
3489,IGFBP6,insulin like growth factor binding protein 6
3490,IGFBP7,insulin like growth factor binding protein 7
26018,LRIG1,leucine rich repeats and immunoglobulin like domains 1
3491,CCN1,cellular communication network factor 1
339366,ADAMTSL5,ADAMTS like 5
116135,LRRC3B,leucine rich repeat containing 3B
29094,LGALSL,galectin like
161198,CLEC14A,C-type lectin domain containing 14A
392617,ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1
5549,PRELP,proline and arginine rich end leucine rich repeat protein
5553,PRG2,"proteoglycan 2, pro eosinophil major basic protein"
26033,ATRNL1,attractin like 1
63923,TNN,tenascin N
1462,VCAN,versican
1463,NCAN,neurocan
1464,CSPG4,chondroitin sulfate proteoglycan 4
29113,C6orf15,chromosome 6 open reading frame 15
6590,SLPI,secretory leukocyte peptidase inhibitor
1471,CST3,cystatin C
339398,LINGO4,leucine rich repeat and Ig domain containing 4
1476,CSTB,cystatin B
9672,SDC3,syndecan 3
127435,PODN,podocan
145864,HAPLN3,hyaluronan and proteoglycan link protein 3
462,SERPINC1,serpin family C member 1
1490,CCN2,cellular communication network factor 2
133584,EGFLAM,"EGF like, fibronectin type III and laminin G domains"
55768,NGLY1,N-glycanase 1
140766,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14
3549,IHH,Indian hedgehog signaling molecule
1508,CTSB,cathepsin B
1509,CTSD,cathepsin D
57829,ZP4,zona pellucida glycoprotein 4
349667,RTN4RL2,reticulon 4 receptor like 2
4582,MUC1,"mucin 1, cell surface associated"
1511,CTSG,cathepsin G
4583,MUC2,"mucin 2, oligomeric mucus/gel-forming"
1512,CTSH,cathepsin H
4585,MUC4,"mucin 4, cell surface associated"
1514,CTSL,cathepsin L
4586,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming"
1515,CTSV,cathepsin V
4588,MUC6,"mucin 6, oligomeric mucus/gel-forming"
1520,CTSS,cathepsin S
1522,CTSZ,cathepsin Z
84467,FBN3,fibrillin 3
3574,IL7,interleukin 7
9719,ADAMTSL2,ADAMTS like 2
131578,LRRC15,leucine rich repeat containing 15
6649,SOD3,superoxide dismutase 3
653808,ZG16,zymogen granule protein 16
100505591,LRRC3C,leucine rich repeat containing 3C
5644,PRSS1,serine protease 1
5645,PRSS2,serine protease 2
5649,RELN,reelin
8722,CTSF,cathepsin F
3603,IL16,interleukin 16
5654,HTRA1,HtrA serine peptidase 1
6678,SPARC,secreted protein acidic and cysteine rich
8728,ADAM19,ADAM metallopeptidase domain 19
5657,PRTN3,proteinase 3
5660,PSAP,prosaposin
3617,IMPG1,interphotoreceptor matrix proteoglycan 1
6693,SPN,sialophorin
6694,SPP2,secreted phosphoprotein 2
4653,MYOC,myocilin
54829,ASPN,asporin
3630,INS,insulin
563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
2615,LRRC32,leucine rich repeat containing 32
63036,CELA2A,chymotrypsin like elastase 2A
284217,LAMA1,laminin subunit alpha 1
4670,HNRNPM,heterogeneous nuclear ribonucleoprotein M
64066,MMP27,matrix metallopeptidase 27
404037,HAPLN4,hyaluronan and proteoglycan link protein 4
1605,DAG1,dystroglycan 1
3655,ITGA6,integrin subunit alpha 6
4684,NCAM1,neural cell adhesion molecule 1
9806,SPOCK2,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
24144,TFIP11,tuftelin interacting protein 11
8785,MATN4,matrilin 4
4693,NDP,norrin cystine knot growth factor NDP
347731,LRRTM3,leucine rich repeat transmembrane neuronal 3
347730,LRRTM1,leucine rich repeat transmembrane neuronal 1
83546,RTBDN,retbindin
84570,COL25A1,collagen type XXV alpha 1 chain
388697,HRNR,hornerin
64093,SMOC1,SPARC related modular calcium binding 1
64094,SMOC2,SPARC related modular calcium binding 2
1634,DCN,decorin
2662,GDF10,growth differentiation factor 10
7783,ZP2,zona pellucida glycoprotein 2
10855,HPSE,heparanase
7784,ZP3,zona pellucida glycoprotein 3
3688,ITGB1,integrin subunit beta 1
23145,SSPOP,"SCO-spondin, pseudogene"
55914,ERBIN,erbb2 interacting protein
3691,ITGB4,integrin subunit beta 4
3697,ITIH1,inter-alpha-trypsin inhibitor heavy chain 1
3698,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2
3699,ITIH3,inter-alpha-trypsin inhibitor heavy chain 3
3700,ITIH4,inter-alpha-trypsin inhibitor heavy chain 4
158326,FREM1,FRAS1 related extracellular matrix 1
439921,MXRA7,matrix remodeling associated 7
633,BGN,biglycan
10875,FGL2,fibrinogen like 2
56955,MEPE,matrix extracellular phosphoglycoprotein
2688,GH1,growth hormone 1
64129,TINAGL1,tubulointerstitial nephritis antigen like 1
1667,DEFA1,defensin alpha 1
5764,PTN,pleiotrophin
9860,LRIG2,leucine rich repeats and immunoglobulin like domains 2
8838,CCN6,cellular communication network factor 6
8839,CCN5,cellular communication network factor 5
8840,CCN4,cellular communication network factor 4
9865,TRIL,TLR4 interactor with leucine rich repeats
169611,OLFML2A,olfactomedin like 2A
649,BMP1,bone morphogenetic protein 1
255631,COL24A1,collagen type XXIV alpha 1 chain
10893,MMP24,matrix metallopeptidase 24
284297,SSC5D,scavenger receptor cysteine rich family member with 5 domains
341640,FREM2,FRAS1 related extracellular matrix 2
26254,OPTC,opticin
655,BMP7,bone morphogenetic protein 7
3730,ANOS1,anosmin 1
27283,TINAG,tubulointerstitial nephritis antigen
84628,NTNG2,netrin G2
27286,SRPX2,sushi repeat containing protein X-linked 2
8857,FCGBP,Fc fragment of IgG binding protein
1690,COCH,cochlin
667,DST,dystonin
7837,PXDN,peroxidasin
2719,GPC3,glypican 3
162466,PHOSPHO1,phosphoethanolamine/phosphocholine phosphatase 1
27299,ADAMDEC1,ADAM like decysin 1
56999,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
81577,GFOD2,glucose-fructose oxidoreductase domain containing 2
283310,OTOGL,otogelin like
81578,COL21A1,collagen type XXI alpha 1 chain
5803,PTPRZ1,protein tyrosine phosphatase receptor type Z1
50859,SPOCK3,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
23213,SULF1,sulfatase 1
2734,GLG1,golgi glycoprotein 1
5806,PTX3,pentraxin 3
64175,P3H1,prolyl 3-hydroxylase 1
89777,SERPINB12,serpin family B member 12
256691,MAMDC2,MAM domain containing 2
7869,SEMA3B,semaphorin 3B
102724770,LOC102724770,protein DGCR6
9917,FAM20B,FAM20B glycosaminoglycan xylosylkinase
170690,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16
27329,ANGPTL3,angiopoietin like 3
170691,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17
170689,ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15
89797,NAV2,neuron navigator 2
710,SERPING1,serpin family G member 1
170692,ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18
712,C1QA,complement C1q A chain
713,C1QB,complement C1q B chain
714,C1QC,complement C1q C chain
1739,DLG1,discs large MAGUK scaffold protein 1
4811,NID1,nidogen 1
81621,KAZALD1,Kazal type serine peptidase inhibitor domain 1
81623,DEFB126,defensin beta 126
168667,BMPER,BMP binding endothelial regulator
221914,GPC2,glypican 2
1755,DMBT1,deleted in malignant brain tumors 1
1758,DMP1,dentin matrix acidic phosphoprotein 1
5858,PZP,PZP alpha-2-macroglobulin like
340706,VWA2,von Willebrand factor A domain containing 2
3827,KNG1,kininogen 1
401138,AMTN,amelotin
4853,NOTCH2,notch receptor 2
4856,CCN3,cellular communication network factor 3
50937,CDON,"cell adhesion associated, oncogene regulated"
2811,GP1BA,glycoprotein Ib platelet subunit alpha
50939,IMPG2,interphotoreceptor matrix proteoglycan 2
255743,NPNT,nephronectin
2817,GPC1,glypican 1
4868,NPHS1,"NPHS1 adhesion molecule, nephrin"
83716,CRISPLD2,cysteine rich secretory protein LCCL domain containing 2
2822,GPLD1,glycosylphosphatidylinositol specific phospholipase D1
3848,KRT1,keratin 1
79625,NDNF,neuron derived neurotrophic factor
375567,VWC2,von Willebrand factor C domain containing 2
1805,DPT,dermatopontin
129804,FBLN7,fibulin 7
4878,NPPA,natriuretic peptide A
83729,INHBE,inhibin subunit beta E
50964,SOST,sclerostin
92949,ADAMTSL1,ADAMTS like 1
8985,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
5919,RARRES2,retinoic acid receptor responder 2
131873,COL6A6,collagen type VI alpha 6 chain
57124,CD248,CD248 molecule
10022,INSL5,insulin like 5
1833,EPYC,epiphycan
1834,DSPP,dentin sialophosphoprotein
811,CALR,calreticulin
7980,TFPI2,tissue factor pathway inhibitor 2
1842,ECM2,extracellular matrix protein 2
4917,NTN3,netrin 3
3897,L1CAM,L1 cell adhesion molecule
3898,LAD1,ladinin 1
5949,RBP3,retinol binding protein 3
6975,TECTB,tectorin beta
3908,LAMA2,laminin subunit alpha 2
3909,LAMA3,laminin subunit alpha 3
3910,LAMA4,laminin subunit alpha 4
3911,LAMA5,laminin subunit alpha 5
3912,LAMB1,laminin subunit beta 1
3913,LAMB2,laminin subunit beta 2
11081,KERA,keratocan
3914,LAMB3,laminin subunit beta 3
3915,LAMC1,laminin subunit gamma 1
89932,PAPLN,"papilin, proteoglycan like sulfated glycoprotein"
3918,LAMC2,laminin subunit gamma 2
653145,ANXA8,annexin A8
3921,RPSA,ribosomal protein SA
727897,MUC5B,"mucin 5B, oligomeric mucus/gel-forming"
11093,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13
150356,CHADL,chondroadherin like
11095,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8
11096,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
861,RUNX1,RUNX family transcription factor 1
4958,OMD,osteomodulin
7007,TECTA,tectorin alpha
10082,GPC6,glypican 6
166752,FREM3,FRAS1 related extracellular matrix 3
57188,ADAMTSL3,ADAMTS like 3
869,CBLN1,cerebellin 1 precursor
1893,ECM1,extracellular matrix protein 1
10085,EDIL3,EGF like repeats and discoidin domains 3
871,SERPINH1,serpin family H member 1
4969,OGN,osteoglycin
93035,PKHD1L1,PKHD1 like 1
9068,ANGPTL1,angiopoietin like 1
11117,EMILIN1,elastin microfibril interfacer 1
3956,LGALS1,galectin 1
3958,LGALS3,galectin 3
4982,TNFRSF11B,TNF receptor superfamily member 11b
3959,LGALS3BP,galectin 3 binding protein
221044,UCMA,upper zone of growth plate and cartilage matrix associated
3960,LGALS4,galectin 4
80760,ITIH5,inter-alpha-trypsin inhibitor heavy chain 5
3965,LGALS9,galectin 9
7040,TGFB1,transforming growth factor beta 1
7041,TGFB1I1,transforming growth factor beta 1 induced transcript 1
81792,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12
7042,TGFB2,transforming growth factor beta 2
64386,MMP25,matrix metallopeptidase 25
7043,TGFB3,transforming growth factor beta 3
81794,ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10
7044,LEFTY2,left-right determination factor 2
7045,TGFBI,transforming growth factor beta induced
10117,ENAM,enamelin
79748,LMAN1L,"lectin, mannose binding 1 like"
7047,TGM4,transglutaminase 4
7049,TGFBR3,transforming growth factor beta receptor 3
5004,ORM1,orosomucoid 1
7052,TGM2,transglutaminase 2
8076,MFAP5,microfibril associated protein 5
80781,COL18A1,collagen type XVIII alpha 1 chain
5005,ORM2,orosomucoid 2
59277,NTN4,netrin 4
7053,TGM3,transglutaminase 3
83854,ANGPTL6,angiopoietin like 6
7057,THBS1,thrombospondin 1
7058,THBS2,thrombospondin 2
346007,EYS,eyes shut homolog
7059,THBS3,thrombospondin 3
7060,THBS4,thrombospondin 4
5016,OVGP1,oviductal glycoprotein 1
1946,EFNA5,ephrin A5
23452,ANGPTL2,angiopoietin like 2
3998,LMAN1,"lectin, mannose binding 1"
84894,LINGO1,leucine rich repeat and Ig domain containing 1
83872,HMCN1,hemicentin 1
1953,MEGF6,multiple EGF like domains 6
1955,MEGF9,multiple EGF like domains 9
84898,PLXDC2,plexin domain containing 2
7076,TIMP1,TIMP metallopeptidase inhibitor 1
7077,TIMP2,TIMP metallopeptidase inhibitor 2
11173,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7
7078,TIMP3,TIMP metallopeptidase inhibitor 3
11174,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6
9126,SMC3,structural maintenance of chromosomes 3
7079,TIMP4,TIMP metallopeptidase inhibitor 4
285613,RELL2,RELT like 2
55214,P3H2,prolyl 3-hydroxylase 2
147372,CCBE1,collagen and calcium binding EGF domains 1
4015,LOX,lysyl oxidase
4016,LOXL1,lysyl oxidase like 1
143282,FGFBP3,fibroblast growth factor binding protein 3
4017,LOXL2,lysyl oxidase like 2
5046,PCSK6,proprotein convertase subtilisin/kexin type 6
51129,ANGPTL4,angiopoietin like 4
953,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1
954,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
7098,TLR3,toll like receptor 3
5054,SERPINE1,serpin family E member 1
84929,FIBCD1,fibrinogen C domain containing 1
79812,MMRN2,multimerin 2
1990,CELA1,chymotrypsin like elastase 1
1991,ELANE,"elastase, neutrophil expressed"
1992,SERPINB1,serpin family B member 1
51144,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12
977,CD151,CD151 molecule (Raph blood group)
26577,PCOLCE2,procollagen C-endopeptidase enhancer 2
84947,SERAC1,serine active site containing 1
7123,CLEC3B,C-type lectin domain family 3 member B
4052,LTBP1,latent transforming growth factor beta binding protein 1
4053,LTBP2,latent transforming growth factor beta binding protein 2
9173,IL1RL1,interleukin 1 receptor like 1
2006,ELN,elastin
4054,LTBP3,latent transforming growth factor beta binding protein 3
59352,LGR6,leucine rich repeat containing G protein-coupled receptor 6
26585,GREM1,"gremlin 1, DAN family BMP antagonist"
389084,SNORC,secondary ossification center associated regulator of chondrocyte maturation
51162,EGFL7,EGF like domain multiple 7
4059,BCAM,basal cell adhesion molecule (Lutheran blood group)
4060,LUM,lumican
4064,CD180,CD180 molecule
7143,TNR,tenascin R
1000,CDH2,cadherin 2
10216,PRG4,proteoglycan 4
7146,TNXA,tenascin XA (pseudogene)
10218,ANGPTL7,angiopoietin like 7
375790,AGRN,agrin
105378220,MARCOL,MARCO like
7148,TNXB,tenascin XB
253935,ANGPTL5,angiopoietin like 5
3054,HCFC1,host cell factor C1
5104,SERPINA5,serpin family A member 5
64499,TPSB2,tryptase beta 2
1012,CDH13,cadherin 13
10234,LRRC17,leucine rich repeat containing 17
340990,OTOG,otogelin
3068,HDGF,heparin binding growth factor
5118,PCOLCE,procollagen C-endopeptidase enhancer
